STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,DATE_LAST_UPDATE,TYPE_LAST_UPDATE,DEDUCT_CODE,REMARKS,PROGRAM_CODE,PROJ_NO,PROJ_SUFFIX,NBI_TYPE_OF_IMP,DTL_TYPE_OF_IMP,SPECIAL_CODE,STEP_CODE,STATUS_WITH_10YR_RULE,SUFFICIENCY_ASTERC,SUFFICIENCY_RATING,STATUS_NO_10YR_RULE
24,200000CL0323010,1,4,1,00544,0,07,013,0,'MORGAN RUN              ',,'LONDON BRIDGE ROAD','  1.7 M S OF MD  32      ',99.99,2.687,,,,39270600,076571800,6,3,02,02,09,1956,2,0,660,2003,4,6.7,0,0,0,1,1,1,1,5,0,0,0,A,1,5,3,02,0,00,1,0,7.3,18,19.2,0,0,7.4,7.8,99.99,N,0,N,99.9,0,7,5,7,6,N,2,62.1,2,36,5,4,N,5,8,7,,,,805,24,N  ,N  ,N  ,,,,,,,,,,,0,N,2,,0,,1989,1,0,0,0,8,0,,Y,U,1150,2025,,N,4/16/2007,B,Z ,,,,,,,,,0,,77.8,0
24,200000CL0324010,1,4,1,00545,0,07,013,0,'MORGAN RUN              ',,'KLEES MILL ROAD   ','1.25 M W OF MD 32        ',99.99,2.108,,,,39301800,076575400,10,3,02,02,09,1988,2,0,1560,2003,4,7,0,0,0,1,1,1,1,5,0,0,0,A,1,5,3,02,0,00,1,0,7.3,18.3,19.2,0,0,7.4,7.8,99.99,N,0,N,99.9,0,7,6,7,8,N,2,62.1,2,36,6,4,N,5,6,6,,,,805,24,N  ,N  ,N  ,,,,,,,,,,,0,N,2,,0,,0,1,0,0,1,8,0,,Y,8,1942,2025,,N,4/16/2007,B,Z ,,,,,,,,,0,,82.1,0
24,200000CL0326020,1,4,1,00662,0,07,013,0,'LITTLE MORGAN RUN       ',,'BARTHOLOW ROAD    ','1.73 MILES N OF MD 32    ',99.99,2.784,,,,39253600,076573600,8,3,02,02,09,1968,2,0,2720,2003,0,6.7,0,0,0,0,N,1,1,5,0,0,0,A,1,5,1,19,0,00,3,0,12.3,3.7,12.2,0,0,0,0,99.99,N,0,N,99.9,0,N,N,N,6,7,2,45,2,32.4,7,N,N,5,6,8,,,,805,24,N  ,N  ,N  ,,,,,,,,,,,0,N,2,,0,,0,N,N,N,N,8,0,,Y,8,4760,2025,,N,4/16/2007,B,Z ,,,,,,,,,0,*,99,0
24,200000CL0327020,1,4,1,00755,0,07,013,0,'TRIBUTARY OF PINEY RUN  ',,'SLACKS ROAD       ','1.06 MI N RAINCLIFFE ROAD',99.99,1.706,,,,39230600,076564200,6,3,02,02,09,1975,2,0,2500,2003,0,6.4,0,7,0,1,0,0,1,5,0,0,0,A,1,5,1,19,0,00,3,0,7.3,3.4,11,0,0,7.3,8,99.99,N,0,N,99.9,0,N,N,N,6,6,2,45,2,32.4,6,2,N,5,4,7,31,1,42.7,805,24,N  ,N  ,N  ,,,,150,20,170,2003,,,,0,N,2,,0,,0,N,N,N,N,8,0,,Y,8,3100,2025,,N,4/16/2007,B,A ,,,,,,,,,2,,77.1,2
24,200000CL0328010,1,4,1,00755,0,07,013,0,'PINEY RUN               ',,'SLACKS ROAD       ','0.80 MI N RAINCLIFFE ROAD',99.99,2.14,,,,39222400,076564200,8,3,02,02,09,1975,2,0,700,2003,0,5.8,0,0,0,1,0,1,1,5,0,0,0,A,1,5,3,02,0,00,1,0,7.3,21.9,22.9,0,0,7.3,8.3,99.99,N,0,N,99.9,0,7,7,7,6,N,2,64.8,2,36,7,4,N,5,7,8,,,,805,24,N  ,N  ,N  ,,,,,,,,,,,0,N,2,,0,,0,1,0,0,0,5,0,,Y,8,860,2025,,N,4/16/2007,B,Z ,,,,,,,,,0,,88.7,0
24,200000CL0329010,1,4,1,00761,0,07,013,0,'PINEY RUN               ',,'BRANGELS ROAD     ','0.55 MI E OF ARRINGTON RD',99.99,1.384,,,,39222400,076555400,5,3,02,02,09,1974,2,0,1800,2003,0,6.7,0,0,0,1,1,1,1,5,0,0,0,P,1,5,3,02,0,00,1,0,9.7,24.4,25.6,0,0,9.8,10.7,99.99,N,0,N,99.9,0,7,7,7,6,N,2,52.2,2,25.2,6,5,N,5,7,8,,,,805,24,N  ,N  ,N  ,,,,,,,,,,,0,N,2,,0,,0,1,1,8,8,8,0,,Y,3,3000,2025,,N,4/16/2007,B,Z ,,,,,,,,,0,,92.3,0
24,200000CL0331010,1,4,1,00758,0,07,013,0,'PINEY RUN               ',,'ARRINGTON ROAD    ','AT MARRIOTTSVILLE ROAD   ',99.99,0.016,,,,39220000,076544200,5,3,02,02,08,1958,2,0,193,2003,0,8.2,0,7,0,1,1,1,1,5,0,0,0,A,1,5,5,01,0,00,1,0,7.9,14.6,14.9,0,0,7.9,8.6,99.99,N,0,N,99.9,0,7,8,7,7,N,2,77.4,2,41.4,7,5,N,5,7,6,,,,805,24,N  ,N  ,N  ,,,,,,,,,,,0,N,2,,0,,1999,1,N,N,N,8,0,,Y,U,240,2025,,N,4/16/2007,B,K*,,1170,0001463,2,12,12,,,0,,99,0
24,200000CL0332010,1,4,1,00740,0,07,013,0,'SOUTH BR PATAPSCO RIVER ',,'MARRIOTTSVILLE RD ','ON HOWARD COUNTY LINE    ',99.99,0,,,,39210600,076535400,11,3,02,02,07,1986,2,0,7500,2003,5,7.3,0,15,0,1,1,0,1,5,0,0,0,A,1,5,3,02,0,00,2,0,10.9,20.7,42.4,0,0,11,11.9,99.99,N,0,N,99.9,0,7,8,7,6,N,2,77.4,2,43.2,7,4,N,5,8,6,,,,805,24,N  ,N  ,N  ,,,,,,,,,,,0,N,2,,0,,0,1,0,0,0,8,0,,Y,8,9200,2025,,N,4/16/2007,B,Z ,,,,,,,,,0,,94,0
24,200000CL0333010,1,4,1,00740,0,07,013,0,'PINEY RUN               ',,'MARRIOTTSVILLE RD ','0.13 MI N HOWARD CO LINE ',99.99,0.209,,,,39211200,076534800,11,3,02,02,07,1977,2,0,4850,2003,4,7.6,0,20,0,1,0,0,1,5,0,0,0,A,1,5,3,02,0,00,1,0,10.9,21.9,23.5,0,0,11,11.9,99.99,N,0,N,99.9,0,7,7,8,7,N,2,74.7,2,43.2,7,5,N,5,6,8,,,,805,24,N  ,N  ,N  ,,,,,,,,,,,0,N,2,,0,,0,1,1,8,8,8,0,,Y,8,5925,2025,,N,4/16/2007,B,Z ,,,,,,,,,0,,95.5,0
24,200000CL0335020,1,4,1,00712,0,07,013,0,'SNOWDEN RUN             ',,'SNOWDEN RUN ROAD  ','1.89 MI W OF MINERAL HILL',99.99,0.547,,,,39243000,076545400,199,3,02,02,09,1974,2,0,426,2003,0,7.6,0,29,0,1,N,1,1,5,0,0,0,P,1,5,1,19,0,00,2,0,7.6,2.7,6.1,0,0,0,0,99.99,N,0,N,99.9,0,N,N,N,7,6,2,99.9,2,39.6,6,N,N,5,8,6,,,,805,24,N  ,N  ,N  ,,,,,,,,,,,0,N,2,,0,,0,N,N,N,N,8,0,,Y,8,520,2025,,N,4/16/2007,B,Z ,,,,,,,,,0,*,91,0
